Date;CO2_price
07.01.2020;24.06
09.01.2020;24.01
10.01.2020;24.48
13.01.2020;24.03
14.01.2020;23.74
15.01.2020;24.08
15.01.2020;24.20
16.01.2020;24.85
17.01.2020;25.01
20.01.2020;25.60
21.01.2020;25.10
23.01.2020;24.65
24.01.2020;24.48
27.01.2020;24.04
28.01.2020;24.55
29.01.2020;24.04
30.01.2020;23.74
31.01.2020;23.48
03.02.2020;23.20
04.02.2020;23.33
06.02.2020;23.40
07.02.2020;23.17
10.02.2020;22.91
11.02.2020;23.15
12.02.2020;23.35
13.02.2020;23.52
14.02.2020;24.27
17.02.2020;24.11
18.02.2020;24.80
20.02.2020;25.50
21.02.2020;25.15
24.02.2020;24.64
25.02.2020;24.32
26.02.2020;23.85
27.02.2020;23.80
28.02.2020;23.46
02.03.2020;23.96
03.03.2020;23.26
05.03.2020;23.90
06.03.2020;23.36
09.03.2020;22.65
10.03.2020;23.76
11.03.2020;23.59
11.03.2020;23.63
12.03.2020;22.85
13.03.2020;22.78
16.03.2020;20.64
17.03.2020;
19.03.2020;16.03
20.03.2020;16.35
23.03.2020;14.60
24.03.2020;16.25
25.03.2020;16.95
26.03.2020;16.30
27.03.2020;16.55
30.03.2020;16.32
31.03.2020;17.40
02.04.2020;17.52
03.04.2020;17.90
06.04.2020;18.36
07.04.2020;21.11
08.04.2020;20.74
08.04.2020;20.07
09.04.2020;21.40
14.04.2020;20.17
16.04.2020;20.10
17.04.2020;21.87
20.04.2020;21.24
21.04.2020;20.40
22.04.2020;19.75
23.04.2020;20.24
24.04.2020;20.49
27.04.2020;20.40
28.04.2020;19.99
30.04.2020;19.97
05.05.2020;19.01
06.05.2020;17.75
06.05.2020;18.85
07.05.2020;19.00
08.05.2020;19.38
11.05.2020;18.81
12.05.2020;18.72
14.05.2020;18.37
15.05.2020;19.02
18.05.2020;19.30
19.05.2020;20.02
20.05.2020;20.11
26.05.2020;21.45
28.05.2020;20.95
29.05.2020;21.70
02.06.2020;21.15
03.06.2020;21.98
04.06.2020;21.77
05.06.2020;22.50
08.06.2020;22.66
09.06.2020;22.30
11.06.2020;22.20
12.06.2020;22.15
15.06.2020;21.80
16.06.2020;22.87
17.06.2020;22.81
18.06.2020;23.63
19.06.2020;24.18
22.06.2020;24.15
23.06.2020;24.85
25.06.2020;25.15
26.06.2020;24.90
29.06.2020;24.74
30.06.2020;25.99
01.07.2020;27.10
01.07.2020;26.88
02.07.2020;27.25
03.07.2020;27.00
06.07.2020;28.86
07.07.2020;29.34
09.07.2020;28.48
10.07.2020;27.66
13.07.2020;30.04
14.07.2020;29.20
15.07.2020;29.81
16.07.2020;28.13
17.07.2020;26.85
20.07.2020;26.85
21.07.2020;26.34
23.07.2020;26.76
24.07.2020;26.57
27.07.2020;25.53
28.07.2020;25.03
29.07.2020;25.96
30.07.2020;25.34
31.07.2020;26.30
03.08.2020;25.81
04.08.2020;25.95
06.08.2020;26.95
07.08.2020;26.16
10.08.2020;26.92
11.08.2020;26.71
12.08.2020;25.55
13.08.2020;25.94
14.08.2020;25.25
17.08.2020;25.42
18.08.2020;26.05
20.08.2020;25.70
21.08.2020;25.36
24.08.2020;26.60
25.08.2020;27.33
26.08.2020;28.42
27.08.2020;28.03
28.08.2020;29.50
01.09.2020;28.28
04.09.2020;28.80
07.09.2020;26.90
08.09.2020;27.25
09.09.2020;26.02
09.09.2020;26.45
10.09.2020;27.46
11.09.2020;28.05
14.09.2020;28.66
15.09.2020;29.99
17.09.2020;29.10
18.09.2020;28.36
21.09.2020;27.12
22.09.2020;26.75
23.09.2020;27.31
24.09.2020;26.28
25.09.2020;26.20
28.09.2020;26.28
29.09.2020;27.09
01.10.2020;26.41
02.10.2020;26.11
05.10.2020;26.79
06.10.2020;26.68
07.10.2020;26.76
07.10.2020;27.43
08.10.2020;26.40
09.10.2020;26.00
12.10.2020;25.54
13.10.2020;25.30
15.10.2020;25.15
